id;nomes;valores;data;cpf;file
N0000001;Abel;R$ 50.017,00;29/09/22;569.878.038-20;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000001.png
N0000002;Abelardo;R$ 28.945,00;16/07/20;357.371.995-33;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000002.png
N0000003;Abílio;R$ 54.916,00;05/07/23;594.857.483-02;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000003.png
N0000004;Abraão;R$ 12.771,00;24/12/22;447.043.376-42;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000004.png
N0000005;Abrahão;R$ 79.307,00;08/02/22;711.854.264-42;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000005.png
N0000006;Abrão;R$ 12.869,00;04/08/22;510.306.147-33;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000006.png
N0000007;Ada;R$ 85.847,00;03/01/22;606.861.264-32;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000007.png
N0000008;Adalberto;R$ 86.615,00;08/04/21;790.684.585-40;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000008.png
N0000009;Adalgisa;R$ 21.387,00;27/09/20;797.174.228-26;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000009.png
N0000010;Adão;R$ 60.451,00;23/01/23;293.489.087-23;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000010.png
N0000011;Adela;R$ 38.645,00;02/09/23;604.009.567-99;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000011.png
N0000012;Adelaide;R$ 7.218,00;22/05/20;645.705.825-67;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000012.png
N0000013;Adelberto;R$ 33.120,00;18/09/23;004.767.171-83;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000013.png
N0000014;Adèle;R$ 36.138,00;25/11/23;499.250.487-61;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000014.png
N0000015;Adélia;R$ 85.410,00;18/01/21;873.504.979-03;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000015.png
N0000016;Adelina;R$ 78.587,00;17/06/23;109.790.249-86;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000016.png
